e1,e2,e3,e4,e5
0.24,0.87,0.18,0.24,0.85
0.28,0.37,0.09,0.97,0.08
0.05,0.74,0.72,0.69,0.91
0.96,0.36,0.95,0.48,0.35
0.84,0.15,0.03,0.70,0.46
0.48,0.78,0.61,0.52,0.98
0.40,0.89,0.15,0.12,0.51
0.30,0.20,0.29,0.79,0.85
0.49,0.66,0.96,0.12,0.74
0.71,0.97,0.83,0.28,0.13
0.72,0.69,0.61,0.54,0.58
0.42,1.00,0.30,0.01,0.10
0.57,0.99,0.19,0.49,0.07
0.79,0.84,0.86,0.95,0.94
0.39,0.32,0.07,0.24,0.84
0.89,0.95,0.98,0.55,0.05
0.58,0.26,0.10,0.87,0.98
0.62,0.07,0.55,0.86,0.24
0.81,0.15,0.98,0.18,0.71
0.36,0.28,0.48,0.18,0.64
0.36,0.97,0.39,0.19,0.76
0.88,0.80,0.07,0.64,0.69
0.90,0.83,0.66,0.37,0.20
0.00,0.63,0.74,0.30,0.97
0.21,0.11,0.50,0.11,0.50
0.18,0.80,0.50,0.25,0.70
0.15,0.96,0.96,0.70,0.69
0.50,0.04,0.39,0.57,0.60
0.44,0.04,0.26,0.11,0.62
0.83,0.61,0.57,0.24,0.70
0.67,0.75,0.24,0.27,0.14
0.11,0.73,0.44,0.47,0.87
0.51,0.35,0.09,0.32,0.59
0.70,0.45,0.48,0.38,0.73
0.34,0.27,0.13,0.38,0.81
0.44,0.69,0.99,0.05,0.43
0.31,0.52,0.77,0.74,0.80
0.25,0.11,0.30,0.40,0.03
0.62,0.83,0.36,0.72,0.70
0.67,0.55,0.69,0.14,0.16
0.52,0.00,1.00,0.23,0.31
0.63,0.96,0.25,0.25,0.72
0.62,0.30,0.36,0.35,0.84
0.54,0.72,0.71,0.63,0.14
0.44,0.59,0.97,0.32,0.57
0.39,0.02,0.41,0.72,0.72
0.77,0.30,0.26,0.93,0.67
0.54,0.68,0.60,0.73,0.19
0.02,0.47,0.18,0.32,0.42
0.98,0.48,0.24,0.28,0.54
0.99,0.54,0.02,0.51,0.33
0.31,0.93,0.76,0.17,0.12
0.30,0.61,0.55,0.07,0.40
0.49,0.50,0.94,0.58,0.59
0.23,0.46,0.88,0.09,0.58
0.44,0.92,0.72,0.93,0.71
0.31,0.83,0.50,0.24,0.71
0.25,0.13,0.82,0.97,0.51
0.24,0.59,0.81,0.21,0.36
0.75,0.12,0.19,0.63,0.60
0.90,0.34,0.22,0.82,0.86
0.81,0.85,0.50,0.71,0.59
0.25,0.84,0.23,0.69,0.32
1.00,0.06,0.93,0.60,0.59
0.30,0.15,0.53,0.59,0.41
0.01,0.43,0.76,0.82,0.35
0.99,0.56,0.11,0.66,0.50
0.75,0.22,0.55,0.22,0.66
0.36,0.86,0.05,0.78,0.49
0.10,0.90,0.04,0.70,0.93
0.84,0.12,0.87,0.72,0.47
0.99,0.11,0.19,0.74,0.89
0.62,0.15,0.72,0.44,0.61
0.13,0.39,0.11,0.56,0.38
0.88,0.35,0.73,0.53,0.88
0.45,0.93,0.53,0.29,0.12
0.42,0.18,0.09,0.60,0.08
0.46,0.84,0.51,0.52,0.27
0.71,0.59,0.56,0.23,0.02
0.03,0.85,0.87,0.02,0.50
0.77,0.82,0.94,0.89,0.33
0.95,0.23,0.44,0.05,0.92
0.23,0.49,0.64,0.91,0.33
0.84,0.73,0.24,0.23,0.62
0.48,0.26,0.86,0.26,0.75
0.84,0.66,0.20,0.60,0.20
0.29,0.77,0.14,0.66,0.46
0.93,0.11,0.90,0.82,0.86
0.25,0.81,0.08,0.94,0.31
0.71,0.00,0.60,0.01,0.95
0.62,0.00,0.92,0.23,0.66
0.65,0.20,0.50,0.36,0.85
0.63,0.38,0.12,0.48,0.95
0.34,0.28,0.41,0.57,0.47
0.86,0.10,0.64,0.61,0.35
0.98,0.76,0.18,0.18,0.05
0.02,0.64,0.42,0.40,0.78
0.30,0.55,0.19,0.36,0.34
0.19,0.16,0.54,0.07,0.59
0.73,0.02,0.07,0.60,0.81
