e1 m-,e1 m+,e1 n-,e1 n+,e1 h-,e1 h+,e2 m-,e2 m+,e2 n-,e2 n+,e2 h-,e2 h+,e3 m-,e3 m+,e3 n-,e3 n+,e3 h-,e3 h+,e4 m-,e4 m+,e4 n-,e4 n+,e4 h-,e4 h+,e5 m-,e5 m+,e5 n-,e5 n+,e5 h-,e5 h+,e6 m-,e6 m+,e6 n-,e6 n+,e6 h-,e6 h+
0.97,0.99,0.00,0.00,0.010000000000000009,0.030000000000000027,0.49,0.89,0.08,0.09,0.01999999999999999,0.43,0.37,0.89,0.00,0.12,-0.010000000000000009,0.63,0.66,0.67,0.17,0.30,0.02999999999999997,0.16999999999999996,0.50,0.83,0.09,0.40,-0.22999999999999998,0.41000000000000003,0.93,1.00,0.00,0.03,-0.03,0.06999999999999995
0.26,0.80,0.01,0.22,-0.020000000000000046,0.73,0.77,0.77,0.07,0.10,0.12999999999999998,0.15999999999999998,0.21,0.79,0.17,0.67,-0.4600000000000001,0.62,0.80,0.95,0.01,0.02,0.030000000000000044,0.18999999999999995,0.74,0.81,0.16,0.24,-0.050000000000000044,0.1,0.81,0.99,0.01,0.09,-0.07999999999999999,0.17999999999999994
0.32,0.75,0.20,0.37,-0.12,0.4799999999999999,0.12,0.53,0.40,0.62,-0.15000000000000002,0.48,0.25,0.27,0.05,0.06,0.6699999999999999,0.7,0.96,0.97,0.02,0.02,0.010000000000000026,0.020000000000000035,0.19,0.80,0.15,0.46,-0.26000000000000006,0.66,0.78,0.85,0.07,0.14,0.010000000000000009,0.14999999999999997
0.44,0.74,0.04,0.07,0.19,0.52,0.14,0.50,0.30,0.79,-0.29000000000000004,0.56,0.35,0.74,0.20,0.48,-0.21999999999999997,0.45,0.02,0.63,0.32,0.79,-0.42000000000000004,0.6599999999999999,0.65,0.81,0.08,0.11,0.07999999999999995,0.26999999999999996,0.54,0.89,0.11,0.29,-0.18,0.35
0.42,0.50,0.21,0.55,-0.050000000000000044,0.3700000000000001,0.29,0.93,0.04,0.10,-0.030000000000000054,0.6699999999999999,0.69,0.93,0.05,0.13,-0.06000000000000005,0.26000000000000006,0.96,1.00,0.00,0.00,0.0,0.040000000000000036,0.83,0.85,0.04,0.12,0.030000000000000027,0.13000000000000003,0.54,0.85,0.09,0.13,0.020000000000000018,0.37
0.64,0.83,0.06,0.22,-0.04999999999999996,0.3,0.51,0.90,0.01,0.42,-0.32,0.48,0.85,0.98,0.01,0.03,-0.009999999999999981,0.14,0.99,0.99,0.01,0.01,8.673617379884035e-18,8.673617379884035e-18,0.64,0.80,0.05,0.28,-0.08000000000000007,0.31,0.94,0.99,0.00,0.02,-0.009999999999999992,0.06000000000000005
0.24,0.89,0.05,0.48,-0.37,0.71,0.54,0.80,0.10,0.46,-0.26000000000000006,0.36,0.72,0.82,0.12,0.23,-0.04999999999999996,0.16000000000000003,0.34,0.95,0.00,0.06,-0.009999999999999953,0.6599999999999999,0.40,0.54,0.27,0.40,0.05999999999999994,0.32999999999999996,0.65,0.99,0.01,0.07,-0.06,0.33999999999999997
0.08,0.29,0.15,0.87,-0.16000000000000003,0.77,0.58,0.91,0.05,0.19,-0.10000000000000003,0.37000000000000005,0.93,0.99,0.01,0.06,-0.04999999999999999,0.05999999999999995,0.48,0.53,0.37,0.45,0.019999999999999962,0.15000000000000002,0.59,0.98,0.01,0.14,-0.12,0.4,0.63,0.82,0.13,0.14,0.040000000000000036,0.24
0.18,0.33,0.50,0.56,0.10999999999999988,0.32000000000000006,0.57,0.92,0.07,0.18,-0.10000000000000003,0.36000000000000004,0.00,0.12,0.77,0.78,0.09999999999999998,0.22999999999999998,0.05,0.17,0.71,0.86,-0.030000000000000027,0.24,0.31,0.47,0.34,0.51,0.020000000000000018,0.3499999999999999,0.84,0.93,0.03,0.03,0.03999999999999995,0.13000000000000003
0.55,0.92,0.02,0.44,-0.36000000000000004,0.42999999999999994,0.55,0.67,0.06,0.24,0.08999999999999997,0.38999999999999996,0.06,0.50,0.42,0.66,-0.16000000000000003,0.52,0.64,0.65,0.14,0.28,0.06999999999999995,0.21999999999999997,0.88,0.93,0.03,0.04,0.02999999999999995,0.09,0.45,0.49,0.23,0.52,-0.010000000000000009,0.32000000000000006
