e1 m-,e1 m+,e1 n-,e1 n+,e1 h-,e1 h+,e2 m-,e2 m+,e2 n-,e2 n+,e2 h-,e2 h+,e3 m-,e3 m+,e3 n-,e3 n+,e3 h-,e3 h+,e4 m-,e4 m+,e4 n-,e4 n+,e4 h-,e4 h+,e5 m-,e5 m+,e5 n-,e5 n+,e5 h-,e5 h+,e6 m-,e6 m+,e6 n-,e6 n+,e6 h-,e6 h+
0.57,0.69,0.23,0.25,0.06000000000000005,0.20000000000000004,0.29,0.39,0.05,0.62,-0.010000000000000009,0.6599999999999999,0.37,0.43,0.12,0.47,0.10000000000000009,0.51,0.25,0.45,0.23,0.46,0.09000000000000002,0.52,0.13,0.35,0.42,0.51,0.14,0.45,0.13,0.73,0.14,0.35,-0.07999999999999996,0.73
0.76,0.81,0.10,0.19,-5.551115123125783e-17,0.13999999999999999,0.30,0.68,0.03,0.35,-0.030000000000000027,0.6699999999999999,0.50,0.54,0.32,0.46,-5.551115123125783e-17,0.18,0.01,0.23,0.77,0.88,-0.10999999999999999,0.21999999999999997,0.19,0.96,0.03,0.64,-0.6,0.78,0.22,0.79,0.07,0.08,0.12999999999999995,0.71
0.88,0.89,0.05,0.09,0.01999999999999999,0.06999999999999999,0.82,0.83,0.02,0.16,0.010000000000000037,0.16000000000000006,0.50,0.83,0.17,0.40,-0.22999999999999998,0.32999999999999996,0.82,0.86,0.09,0.12,0.020000000000000018,0.09000000000000005,0.92,0.95,0.02,0.02,0.030000000000000044,0.059999999999999956,0.30,0.50,0.47,0.51,-0.010000000000000009,0.22999999999999998
0.82,0.88,0.08,0.15,-0.03,0.10000000000000005,0.32,0.35,0.55,0.66,-0.010000000000000009,0.1299999999999999,0.79,0.88,0.01,0.09,0.03,0.19999999999999996,0.44,0.71,0.04,0.44,-0.14999999999999997,0.52,0.39,0.90,0.06,0.55,-0.45000000000000007,0.55,0.80,0.96,0.03,0.13,-0.08999999999999997,0.16999999999999996
0.67,0.97,0.02,0.22,-0.18999999999999997,0.30999999999999994,0.35,0.72,0.09,0.43,-0.14999999999999997,0.56,0.53,0.88,0.09,0.36,-0.24,0.38,0.81,0.89,0.11,0.15,-0.04000000000000001,0.07999999999999995,0.66,0.79,0.08,0.22,-0.010000000000000037,0.25999999999999995,0.29,0.69,0.28,0.68,-0.37,0.42999999999999994
0.80,0.87,0.10,0.12,0.010000000000000009,0.09999999999999995,0.43,0.82,0.04,0.13,0.050000000000000044,0.53,0.95,0.99,0.00,0.02,-0.009999999999999992,0.050000000000000044,0.20,0.63,0.06,0.66,-0.29000000000000004,0.74,0.46,0.84,0.16,0.32,-0.15999999999999998,0.38,0.69,0.94,0.05,0.23,-0.16999999999999996,0.26000000000000006
0.72,0.96,0.03,0.12,-0.07999999999999996,0.25,0.94,0.96,0.02,0.03,0.010000000000000037,0.04000000000000005,0.76,0.98,0.01,0.06,-0.03999999999999998,0.22999999999999998,0.50,0.82,0.01,0.04,0.14000000000000004,0.49,0.77,0.89,0.08,0.12,-0.010000000000000009,0.14999999999999997,0.34,0.55,0.41,0.66,-0.21000000000000008,0.24999999999999994
0.39,0.56,0.12,0.47,-0.030000000000000027,0.49,0.13,0.39,0.05,0.11,0.5,0.82,0.60,0.75,0.18,0.21,0.04000000000000001,0.22000000000000003,0.91,0.96,0.02,0.05,-0.009999999999999967,0.06999999999999997,0.58,0.70,0.24,0.37,-0.06999999999999995,0.18000000000000005,0.40,0.83,0.16,0.23,-0.05999999999999997,0.43999999999999995
0.23,0.56,0.15,0.54,-0.10000000000000009,0.62,0.85,0.92,0.05,0.06,0.019999999999999962,0.10000000000000002,0.74,0.93,0.01,0.07,-5.551115123125783e-17,0.25,0.28,0.69,0.26,0.36,-0.04999999999999993,0.45999999999999996,0.22,0.60,0.32,0.52,-0.12,0.46,0.14,0.85,0.15,0.61,-0.45999999999999996,0.71
0.30,0.53,0.18,0.32,0.14999999999999997,0.52,0.19,0.66,0.31,0.61,-0.27,0.5,0.50,0.90,0.08,0.49,-0.39,0.42,0.15,0.40,0.18,0.26,0.33999999999999997,0.6699999999999999,0.56,0.98,0.00,0.09,-0.06999999999999998,0.43999999999999995,0.03,0.72,0.24,0.71,-0.42999999999999994,0.73
0.01,0.25,0.61,0.90,-0.15000000000000002,0.38,0.06,0.30,0.42,0.93,-0.2300000000000001,0.52,0.26,0.69,0.05,0.72,-0.4099999999999999,0.69,0.56,0.87,0.03,0.12,0.010000000000000009,0.4099999999999999,0.69,0.90,0.01,0.22,-0.12000000000000002,0.30000000000000004,0.49,0.56,0.36,0.49,-0.050000000000000044,0.15000000000000002
0.75,0.81,0.10,0.22,-0.030000000000000054,0.15,0.01,0.66,0.20,0.24,0.09999999999999998,0.79,0.80,0.93,0.06,0.16,-0.09000000000000005,0.13999999999999996,0.15,0.87,0.03,0.30,-0.16999999999999998,0.82,0.64,0.77,0.13,0.27,-0.040000000000000036,0.22999999999999998,0.28,0.91,0.07,0.69,-0.6,0.6499999999999999
0.71,0.85,0.09,0.19,-0.03999999999999998,0.20000000000000004,0.44,0.66,0.04,0.26,0.07999999999999996,0.52,0.28,0.60,0.17,0.52,-0.12,0.5499999999999999,0.18,0.28,0.07,0.59,0.13,0.75,0.76,0.80,0.17,0.24,-0.040000000000000036,0.06999999999999998,0.16,0.76,0.12,0.72,-0.48,0.72
0.78,0.97,0.00,0.09,-0.05999999999999997,0.21999999999999997,0.45,0.75,0.18,0.28,-0.030000000000000027,0.37000000000000005,0.08,0.25,0.00,0.09,0.66,0.92,0.15,0.73,0.22,0.81,-0.54,0.63,0.97,0.98,0.00,0.01,0.010000000000000018,0.030000000000000027,0.86,0.96,0.04,0.11,-0.06999999999999997,0.1
0.92,0.95,0.00,0.07,-0.019999999999999962,0.07999999999999996,0.50,0.61,0.31,0.38,0.010000000000000009,0.19,0.84,0.85,0.10,0.12,0.030000000000000027,0.060000000000000026,0.40,0.56,0.38,0.52,-0.08000000000000007,0.21999999999999997,0.84,0.92,0.02,0.12,-0.040000000000000036,0.14000000000000004,0.36,0.37,0.21,0.43,0.2,0.43000000000000005
0.93,0.98,0.00,0.01,0.010000000000000018,0.06999999999999995,0.82,0.97,0.02,0.16,-0.12999999999999998,0.16000000000000006,0.36,0.61,0.24,0.33,0.06,0.4,0.19,0.60,0.15,0.81,-0.41000000000000003,0.66,0.72,0.79,0.19,0.25,-0.040000000000000036,0.09000000000000002,0.97,0.99,0.00,0.01,8.673617379884035e-18,0.030000000000000027
0.68,0.93,0.01,0.21,-0.14000000000000004,0.30999999999999994,0.63,0.65,0.09,0.14,0.20999999999999996,0.28,0.07,0.22,0.08,0.43,0.35000000000000003,0.85,0.33,0.76,0.05,0.61,-0.37,0.6199999999999999,0.91,0.99,0.00,0.02,-0.009999999999999992,0.08999999999999997,0.35,0.41,0.12,0.35,0.2400000000000001,0.53
0.85,0.95,0.05,0.13,-0.07999999999999996,0.10000000000000002,0.12,0.21,0.04,0.12,0.67,0.84,0.37,0.57,0.09,0.17,0.26,0.54,0.59,0.80,0.00,0.22,-0.020000000000000046,0.41000000000000003,0.76,0.89,0.06,0.18,-0.07,0.18,1.00,1.00,0.00,0.00,0.0,0.0
0.94,0.97,0.03,0.05,-0.019999999999999976,0.030000000000000054,0.19,0.62,0.02,0.74,-0.36,0.79,0.07,0.71,0.12,0.34,-0.04999999999999999,0.8099999999999999,0.03,0.65,0.15,0.53,-0.18000000000000005,0.82,0.61,0.94,0.04,0.17,-0.10999999999999996,0.35000000000000003,0.29,0.73,0.14,0.41,-0.13999999999999996,0.57
0.35,0.48,0.29,0.49,0.030000000000000027,0.36000000000000004,0.29,0.84,0.10,0.20,-0.03999999999999998,0.61,0.49,0.61,0.36,0.42,-0.02999999999999997,0.15000000000000002,0.88,0.90,0.01,0.04,0.05999999999999998,0.11,0.73,0.83,0.06,0.22,-0.04999999999999996,0.21000000000000002,0.41,0.69,0.12,0.53,-0.21999999999999997,0.4700000000000001
0.61,0.72,0.02,0.23,0.05000000000000002,0.37,0.29,0.36,0.37,0.51,0.13,0.33999999999999997,0.30,1.00,0.00,0.37,-0.37,0.7,0.97,0.98,0.01,0.01,0.010000000000000018,0.020000000000000025,0.97,0.98,0.01,0.02,1.734723475976807e-17,0.020000000000000025,0.40,0.72,0.08,0.23,0.05000000000000002,0.52
0.83,0.88,0.08,0.11,0.009999999999999995,0.09000000000000004,0.17,0.57,0.28,0.73,-0.29999999999999993,0.5499999999999999,0.38,0.84,0.13,0.60,-0.43999999999999995,0.49,0.67,0.90,0.08,0.19,-0.09000000000000002,0.24999999999999994,0.77,0.98,0.02,0.14,-0.12,0.21,0.39,0.50,0.10,0.52,-0.020000000000000018,0.51
0.31,0.54,0.12,0.58,-0.12,0.57,0.41,0.76,0.06,0.33,-0.09000000000000002,0.53,0.04,0.69,0.09,0.27,0.040000000000000036,0.87,0.46,0.84,0.08,0.30,-0.13999999999999996,0.46,0.77,0.89,0.10,0.19,-0.08000000000000002,0.12999999999999998,0.91,0.93,0.02,0.04,0.02999999999999995,0.06999999999999997
0.88,0.97,0.01,0.08,-0.049999999999999975,0.11,0.75,0.82,0.17,0.22,-0.03999999999999995,0.07999999999999999,0.34,0.78,0.17,0.43,-0.21000000000000002,0.4899999999999999,0.91,0.95,0.00,0.02,0.030000000000000044,0.08999999999999997,0.96,0.99,0.01,0.04,-0.029999999999999992,0.030000000000000034,0.03,0.74,0.26,0.66,-0.4,0.71
